case_id,variant,pred_volume_ml,neg_volume_ml,entropy_sum_ml,entropy_mean_region,entropy_per_volume,soft_dice_gap,model_disagreement,model_diff_mean_region
spleen_10,clean,253.5912898276606,-253.5912898276606,90.9367340112602,0.235508993268013,0.3585956523706329,0.05649649204525731,0.03775930171532749,0.08616814762353897
spleen_12,clean,451.5668246260877,-451.5668246260877,128.18211532412704,0.19386281073093414,0.2838607894418862,0.045634727219939664,0.03838274091433158,0.07938219606876373
spleen_13,clean,273.64778204348056,-273.64778204348056,92.7030779112142,0.218613862991333,0.338767876059322,0.05463688996076399,0.049826924318499,0.0954723209142685
spleen_14,clean,456.34547922860236,-456.34547922860236,138.62137849104425,0.2148352712392807,0.3037641103081971,0.047408718663308536,0.03276609023744781,0.07591679692268372
spleen_16,clean,197.52362878690954,-197.52362878690954,77.90694633883918,0.2543414235115051,0.39441836309561706,0.060882152003242096,0.04993359564089517,0.08812453597784042
spleen_17,clean,90.0162079724759,-90.0162079724759,36.98679096295497,0.23842580616474152,0.41089034737237945,0.06580914211723887,0.07098794151937948,0.10656871646642685
spleen_18,clean,227.25180784615802,-227.25180784615802,82.7291337747146,0.22408778965473175,0.3640416970003578,0.058309987214883785,0.041653920350612106,0.08813672512769699
spleen_19,clean,316.5269677734375,-316.5269677734375,98.71635470151902,0.21632862091064453,0.3118734412929322,0.04923481454871448,0.03236303925959094,0.08027088642120361
spleen_2,clean,306.5825564566254,-306.5825564566254,96.47806108433336,0.21660110354423523,0.314688683529139,0.04912879802845571,0.028042697268098493,0.07851127535104752
spleen_20,clean,287.6677819144196,-287.6677819144196,91.36558327542684,0.20601537823677063,0.317607980523199,0.050871463152837304,0.04038179148311305,0.08361237496137619
spleen_21,clean,125.18439745237855,-125.18439745237855,52.281630684653244,0.24373842775821686,0.417636955951653,0.06720179340006083,0.06510290704941823,0.10448789596557617
spleen_22,clean,278.65996875,-278.65996875,84.1865166091919,0.19809168577194214,0.302111986112795,0.048527224431166194,0.03223033949290932,0.07567599415779114
spleen_24,clean,57.53053588867188,-57.53053588867188,33.70272030591965,0.3129293918609619,0.5858231595676119,0.088364092855725,0.10489348921029529,0.11042321473360062
spleen_25,clean,104.68543212890626,-104.68543212890626,42.05266373634338,0.23705951869487762,0.4017050212350568,0.0649895043659453,0.06609860310231264,0.1053449809551239
spleen_26,clean,210.96759253277213,-210.96759253277213,60.07665786553483,0.1975821852684021,0.2847672343618482,0.045493334723930245,0.03970579342872693,0.08305443823337555
spleen_27,clean,152.24658937674732,-152.24658937674732,67.46497257375292,0.26083889603614807,0.4431296152507235,0.06844846644968583,0.07143859649122808,0.1036405861377716
spleen_28,clean,161.17822265625,-161.17822265625,58.93957757949829,0.23533208668231964,0.3656795354121793,0.058669867026649,0.037020048028925334,0.09281570464372635
spleen_29,clean,191.35562133789062,-191.35562133789062,66.27834814786911,0.22498819231987,0.34636216947521276,0.05377748686118555,0.029108597459753693,0.08758135885000229
spleen_3,clean,161.88520435658108,-161.88520435658108,61.24399428820924,0.24344311654567719,0.3783174288942947,0.06229587423034544,0.04030243935817168,0.09245974570512772
spleen_31,clean,356.1651603086752,-356.1651603086752,111.80727508622735,0.22074249386787415,0.31391974158653846,0.04896118857268572,0.04521190773333961,0.089736707508564
spleen_32,clean,340.32962900242353,-340.32962900242353,117.64644840923374,0.2306104302406311,0.34568382645401696,0.0542490493386123,0.03959879687575807,0.08897823095321655
spleen_33,clean,408.03835790581746,-408.03835790581746,115.86766675106898,0.19954682886600494,0.2839626826892909,0.04488735023366608,0.027539760331362406,0.07394715398550034
spleen_38,clean,111.87427279693277,-111.87427279693277,47.72288264012315,0.2580047845840454,0.4265760254526684,0.06405868381832835,0.04472017353579172,0.09769389778375626
spleen_40,clean,172.4203125,-172.4203125,61.54822814941406,0.23115304112434387,0.35696622548120055,0.05571080938883477,0.038396679206122664,0.0904444083571434
spleen_41,clean,197.248994140625,-197.248994140625,77.28551441192627,0.24963140487670898,0.3918170267414748,0.06005605735331376,0.04677934939305939,0.09279052168130875
spleen_44,clean,105.88361295339513,-105.88361295339513,62.048682294917725,0.3337717652320862,0.5860083592182349,0.08812213693900117,0.07728850721724834,0.10137560963630676
spleen_45,clean,196.98376458652697,-196.98376458652697,74.49541819584802,0.23097409307956696,0.37818049803350773,0.05922898068927951,0.03795726390996579,0.09229974448680878
spleen_46,clean,179.4561342760822,-179.4561342760822,66.85521005357862,0.23562543094158173,0.37254346485991946,0.05748601547716237,0.0745180290812667,0.10188044607639313
spleen_47,clean,410.45494809688125,-410.45494809688125,122.17234226427982,0.20935268700122833,0.2976510402195054,0.04666391048015117,0.07050108483042383,0.09226951003074646
spleen_49,clean,304.85247168669616,-304.85247168669616,101.65403265956789,0.2217080146074295,0.3334532014686765,0.052642948493163866,0.027636412336420002,0.07489686459302902
spleen_52,clean,196.97900761912229,-196.97900761912229,69.01189611795436,0.22356867790222168,0.3503515270591445,0.054841113303099265,0.060098069847666524,0.08788497000932693
spleen_53,clean,129.58544190403566,-129.58544190403566,42.65351502654265,0.19133640825748444,0.32915360244038566,0.04928703150371061,0.0525851290725895,0.11572930961847305
spleen_56,clean,82.55358101295722,-82.55358101295722,41.46934701974247,0.2962001860141754,0.5023325034589794,0.07965905898181314,0.0580266798827076,0.10943593829870224
spleen_59,clean,434.01167050634496,-434.01167050634496,128.96003180957734,0.2087898552417755,0.2971349403096109,0.04685669926128999,0.049566739052518405,0.08731675893068314
spleen_6,clean,217.0925510472756,-217.0925510472756,80.21025750271397,0.22667278349399567,0.3694749410598009,0.05893050727718241,0.0424821183749331,0.08619455248117447
spleen_60,clean,299.06348077007476,-299.06348077007476,105.82779513247104,0.23701153695583344,0.3538639851979563,0.05503196538441113,0.035475094181665945,0.08564279973506927
spleen_61,clean,165.98729420627257,-165.98729420627257,68.09028926155389,0.2545531988143921,0.41021386358005224,0.063461024009286,0.041937453856039975,0.09527838230133057
spleen_62,clean,271.5670308987482,-271.5670308987482,95.66641839390768,0.232202410697937,0.35227552504183096,0.05579272539342195,0.06600235074497873,0.10755600780248642
spleen_63,clean,353.63330881917807,-353.63330881917807,117.137861818807,0.2237394005060196,0.33124103102714975,0.05115163812132273,0.04964243219704867,0.09016244113445282
spleen_8,clean,500.9126680476121,-500.9126680476121,140.5556842440986,0.19961534440517426,0.28059918067542,0.04478569869084581,0.034012537012828026,0.07494305074214935
spleen_9,clean,273.5615011170673,-273.5615011170673,89.57980989260598,0.21639575064182281,0.3274576631829177,0.05259206171780462,0.04023929919521396,0.08392354100942612
